# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00039019 -1.60000 10.07918 0.0900000036 1.0816895926    0.090 -3.187  3.4783  5.445    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.16e-17      0.00 7.481e-01 2.515e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 12.739 17.877 16.124 14.193 12.590 12.071 11.967
0.00039019 -1.60000 10.07918 0.0956585109 1.1337817573    0.096 -3.006  3.5045  5.395    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.05e-17      0.00 7.469e-01 2.526e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 12.285 17.283 15.158 13.329 12.107 11.677 11.569
0.00039019 -1.60000 10.07918 0.1000000015 1.1711064122    0.100 -2.874  3.5235  5.358    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.11e-16      0.00 7.460e-01 2.535e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 11.955 16.741 14.492 12.756 11.761 11.382 11.275
0.00039019 -1.60000 10.07918 0.1199999899 1.3193153758    0.120 -2.586  3.5545  5.273    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.17e-16      0.00 7.433e-01 2.563e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 11.235 15.491 13.280 11.723 11.018 10.705 10.604
0.00039019 -1.60000 10.07918 0.1400000006 1.4384526719    0.140 -2.404  3.5697  5.218    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.26e-16      0.00 7.412e-01 2.583e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 10.779 14.722 12.608 11.149 10.554 10.269 10.173
0.00039019 -1.60000 10.07918 0.1599999964 1.5372931554    0.160 -2.261  3.5797  5.174    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.46e-16      0.00 7.399e-01 2.597e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.187e-04 10.422 14.160 12.120 10.731 10.191 9.923 9.831
0.00039019 -1.60000 10.07918 0.2000000179 1.6938791367    0.200 -2.040  3.5927  5.101    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.22e-16      0.00 7.388e-01 2.608e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 9.869 13.331 11.405 10.115 9.632 9.384 9.298
0.00039019 -1.60000 10.07918 0.2268789709 1.7778395356    0.227 -1.925  3.5989  5.066    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.8e-16      0.00 7.388e-01 2.608e-01 7.530e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 9.582 12.921 11.045 9.802 9.341 9.103 9.020
0.00039019 -1.60000 10.07918 0.2500000000 1.8403257998    0.250 -1.836  3.6037  5.039    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.22e-16      0.00 7.388e-01 2.608e-01 7.530e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 9.361 12.608 10.770 9.563 9.118 8.887 8.806
0.00039019 -1.60000 10.07918 0.3000000417 1.9529140366    0.300 -1.681  3.6124  4.998    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.51e-15      0.00 7.390e-01 2.606e-01 7.529e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.974 12.061 10.288 9.143 8.725 8.507 8.431
0.00039019 -1.60000 10.07918 0.3283048272 2.0063552942    0.328 -1.608  3.6168  4.981    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.75e-15      0.00 7.389e-01 2.606e-01 7.527e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.790 11.802 10.058 8.944 8.538 8.327 8.253
0.00039019 -1.60000 10.07918 0.3499999940 2.0434174644    0.350 -1.556  3.6200  4.970    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.94e-15      0.00 7.389e-01 2.606e-01 7.526e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.659 11.618 9.895 8.803 8.405 8.199 8.127
